date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:19:03	2013/2013	---M--	200	added ('OK')	application/json	etag:%221576-1705097944;;;%22	https://amtar.store/wp-json/oembed/1.0/embed?url=https%3A%2F%2Famtar.store%2F	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-json/oembed/1.0/embedb394.json	(from https://amtar.store/)
23:19:03	2175/2175	---M-Z	200	added ('OK')	text/xml	etag:%221577-1705097944;gz%22	https://amtar.store/wp-json/oembed/1.0/embed?url=https%3A%2F%2Famtar.store%2F&format=xml	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-json/oembed/1.0/embed4eba	(from https://amtar.store/)
23:19:03	217239/217239	---M-Z	200	added ('OK')	application/x-javascript	date:Fri,%2012%20Jan%202024%2022:19:04%20GMT	https://connect.facebook.net/en_US/fbevents.js?v=next	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/connect.facebook.net/en_US/fbevents2f15.js	(from https://amtar.store/)
23:19:05	326628/326628	---M--	200	added ('OK')	font/woff2	date:Wed,%2008%20Nov%202023%2000:00:10%20GMT	https://amtar.store/wp-content/themes/twentytwentyfour/assets/fonts/inter/Inter-VariableFont_slnt,wght.woff2	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-content/themes/twentytwentyfour/assets/fonts/inter/Inter-VariableFont_slnt,wght.woff2	(from https://amtar.store/)
23:19:05	105184/105184	---M--	200	added ('OK')	font/woff2	date:Wed,%2008%20Nov%202023%2000:00:10%20GMT	https://amtar.store/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_italic_400.woff2	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_italic_400.woff2	(from https://amtar.store/)
23:19:06	1517/1517	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Dec%202023%2015:00:13%20GMT	https://amtar.store/wp-content/uploads/elementor/thumbs/layers-qgr8bgjfeee0nmpbbsrhd9k0p514uxx2hn6d2xko4e.png	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-content/uploads/elementor/thumbs/layers-qgr8bgjfeee0nmpbbsrhd9k0p514uxx2hn6d2xko4e.png	(from https://amtar.store/)
23:19:06	34306/34306	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Dec%202023%2014:59:49%20GMT	https://amtar.store/wp-content/uploads/2023/12/1656733637logo-canva-png.webp	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-content/uploads/2023/12/1656733637logo-canva-png.webp	(from https://amtar.store/)
23:19:06	26044/26044	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Dec%202023%2015:00:13%20GMT	https://amtar.store/wp-content/uploads/2023/12/painting-egg.png	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-content/uploads/2023/12/painting-egg.png	(from https://amtar.store/)
23:19:06	132564/132564	---M--	200	added ('OK')	font/woff2	date:Wed,%2008%20Nov%202023%2000:00:10%20GMT	https://amtar.store/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_700.woff2	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-content/themes/twentytwentyfour/assets/fonts/cardo/cardo_normal_700.woff2	(from https://amtar.store/)
23:19:07	84340/84340	---M--	200	added ('OK')	image/webp	date:Wed,%2013%20Dec%202023%2014:59:57%20GMT	https://amtar.store/wp-content/uploads/2023/12/1656733637logo-canva-png-1024x1024.webp	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-content/uploads/2023/12/1656733637logo-canva-png-1024x1024.webp	(from https://amtar.store/)
23:19:07	19765/19765	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Dec%202023%2015:00:13%20GMT	https://amtar.store/wp-content/uploads/2023/12/art-and-design.png	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-content/uploads/2023/12/art-and-design.png	(from https://amtar.store/)
23:19:07	20930/20930	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Dec%202023%2015:00:13%20GMT	https://amtar.store/wp-content/uploads/2023/12/palettes.png	C:/Users/PC/Desktop/Iptv%20test/canva%20pro%202/amtar.store/wp-content/uploads/2023/12/palettes.png	(from https://amtar.store/)
